case,perturbation,description,o2_factor,mdot_factor,H2_out,CO_out,CH4_out,CH4_slip_pct,H2CO_ratio,T_out_K,success
A_case1_richter,baseline,Original parameters,1.0,1.0,0.5462917695105122,0.23946749681157037,0.1790340951304666,17.903409513046658,2.281277320656057,1429.7404903802958,True
A_case1_richter,o2_plus_2pct,O2 +2% relative,1.02,1.0,0.5462917695105122,0.23946749681157037,0.1790340951304666,17.903409513046658,2.281277320656057,1429.7404903802958,True
A_case1_richter,o2_plus_5pct,O2 +5% relative,1.05,1.0,0.5462917695105122,0.23946749681157037,0.1790340951304666,17.903409513046658,2.281277320656057,1429.7404903802958,True
A_case1_richter,mdot_minus_10pct,Mass flow -10%,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,False
A_case1_richter,mdot_minus_20pct,Mass flow -20%,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,False
A_case4_richter,baseline,Original parameters,1.0,1.0,0.5915293302716267,0.26628407820826205,0.11072034536341456,11.072034536341455,2.2214220776992484,1445.158774911454,True
A_case4_richter,o2_plus_2pct,O2 +2% relative,1.02,1.0,0.5915293302716267,0.26628407820826205,0.11072034536341456,11.072034536341455,2.2214220776992484,1445.158774911454,True
A_case4_richter,o2_plus_5pct,O2 +5% relative,1.05,1.0,0.5915293302716267,0.26628407820826205,0.11072034536341456,11.072034536341455,2.2214220776992484,1445.158774911454,True
A_case4_richter,mdot_minus_10pct,Mass flow -10%,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,False
A_case4_richter,mdot_minus_20pct,Mass flow -20%,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,False
B_case1_134L,baseline,Original parameters,1.0,1.0,0.5302405629452768,0.23566461729190055,0.19678620517792417,19.678620517792417,2.2499795219089105,1480.346802197079,True
B_case1_134L,o2_plus_2pct,O2 +2% relative,1.02,1.0,0.5302405629452768,0.23566461729190055,0.19678620517792417,19.678620517792417,2.2499795219089105,1480.346802197079,True
B_case1_134L,o2_plus_5pct,O2 +5% relative,1.05,1.0,0.5302405629452768,0.23566461729190055,0.19678620517792417,19.678620517792417,2.2499795219089105,1480.346802197079,True
B_case1_134L,mdot_minus_10pct,Mass flow -10%,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,False
B_case1_134L,mdot_minus_20pct,Mass flow -20%,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,False
B_case4_134L,baseline,Original parameters,1.0,1.0,0.5786865101820974,0.2639285558201017,0.12453521061139125,12.453521061139124,2.1925877189906657,1494.8735195226532,True
B_case4_134L,o2_plus_2pct,O2 +2% relative,1.02,1.0,0.5786865101820974,0.2639285558201017,0.12453521061139125,12.453521061139124,2.1925877189906657,1494.8735195226532,True
B_case4_134L,o2_plus_5pct,O2 +5% relative,1.05,1.0,0.5786865101820974,0.2639285558201017,0.12453521061139125,12.453521061139124,2.1925877189906657,1494.8735195226532,True
B_case4_134L,mdot_minus_10pct,Mass flow -10%,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,False
B_case4_134L,mdot_minus_20pct,Mass flow -20%,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,False
