generation,penalty,size,psr_pass,pfr_pass
0,1000000.0,32,False,False
1,1000000.0,32,False,False
2,1000000.0,32,False,False
3,1000000.0,32,False,False
4,1000000.0,32,False,False
5,1000000.0,32,False,False
6,1000000.0,32,False,False
7,1000000.0,32,False,False
8,1000000.0,32,False,False
9,1000000.0,32,False,False
10,1000000.0,32,False,False
11,1000000.0,32,False,False
12,1000000.0,32,False,False
13,5271.65679802051,32,True,True
14,4026.967538453292,31,True,True
15,4026.967538453292,31,True,True
16,3981.811888742267,32,True,True
17,3981.811888742267,32,True,True
18,3869.1877833967924,32,True,True
19,3869.1877833967924,32,True,True
20,3869.1877833967924,32,True,True
21,3869.1877833967924,32,True,True
22,3869.1877833967924,32,True,True
23,3869.1877833967924,32,True,True
24,3869.1877833967924,32,True,True
25,3869.1877833967924,32,True,True
26,3869.1877833967924,32,True,True
27,3869.1877833967924,32,True,True
28,3869.1877833967924,32,True,True
